Nodes;p_a;p{cycle_failure};p{cycle_success};p{rts_collision};p{rts_success};p{wait};idle_time;backoff_time;rts_time;cts_time;out_time;data_time;wait_time;Cycle_time;time_between_tx;time_w/o_tx;tau;tau_data
40;1.0;0.6895175215456267;0.3104824784543735;0.9111638099911747;0.08883619000882562;0.0;3.1999999999986284;154.49390920108334;11.1941538122207;0.9935439310535555;10.200609881167143;4.967719655269759;0.0;186.04348041184662;240.00000000000065;12592.088931168684;0.06016955707042284;0.026701928195885502
41;1.0;0.7046225765993811;0.29537742340061857;0.9161237034221845;0.08387629657781549;0.0;3.199999999998627;156.19760949793144;11.27912430013017;0.9452077548815596;10.333916545248611;4.726038774409689;0.0;187.62710462748166;240.00000000000065;12729.8644532384;0.06011457844816161;0.025188465087668727
42;1.0;0.7197446370637356;0.28025536293626424;0.9210169649773864;0.0789830350226138;0.0;3.199999999998627;157.84276086462108;11.365167687500357;0.8968171613956475;10.468350526104707;4.4840858069800325;0.0;189.15399920799607;240.00000000000065;12863.333354304332;0.06008420511904207;0.023706005824647023
43;1.0;0.7345796482391951;0.265420351760805;0.9257325676155154;0.07426743238448469;0.0;3.1999999999986275;159.38152468938102;11.447014625949711;0.849345125634199;10.59766950031551;4.246725628172695;0.0;190.5716246950859;240.00000000000065;12988.439564227132;0.06006673157278743;0.022284144530789644
44;1.0;0.7488996940452828;0.2511003059547171;0.9302053012460194;0.06979469875398109;0.0;3.1999999999986275;160.77736601364478;11.52353556856532;0.8035209790547385;10.720014589510583;4.017604895275297;0.0;191.84556302510407;240.00000000000065;13102.303545236551;0.060066729648875966;0.020941870283179658
45;1.0;0.7625589456591897;0.23744105434081017;0.9344274949098663;0.06557250509013382;0.0;3.1999999999986293;162.23404082726444;11.598084781371046;0.7598113738902543;10.838273407480786;3.7990568694527944;0.0;193.18907863334832;240.00000000000065;13220.423567605796;0.060034888428568675;0.01966496706919436
46;1.0;0.7745345379813111;0.22546546201868883;0.9380725777421706;0.061927422257829615;0.0;3.1999999999986275;163.54514228809794;11.661650928436988;0.7214894784594825;10.940161449977511;3.6074473922988606;0.0;194.39738101572894;240.00000000000065;13326.397780355564;0.059988724475117425;0.018557078153264715
47;1.0;0.7872867072949246;0.21271329270507533;0.9419006689222116;0.05809933107778845;0.0;3.1999999999986284;164.84219387732387;11.727057451866646;0.6806825366559404;11.046374915210702;3.4034126832810587;0.0;195.58040400099281;240.00000000000065;13431.64265943999;0.0599602885154441;0.017401603707004217
48;1.0;0.798452913188113;0.20154708681188738;0.9452408707360949;0.054759129263905;0.0;3.1999999999986284;166.02116002395928;11.789136043149787;0.6449506777977515;11.144185365352032;3.2247533889900546;0.0;196.66913617704532;240.00000000000063;13527.400904198248;0.05994400683459036;0.01639684523801981
49;1.0;0.8094030320865208;0.19059696791347888;0.9484610413298409;0.05153895867015926;0.0;3.1999999999986284;167.09219311929456;11.845281748436104;0.6099102973228607;11.23537145111324;3.049551486615528;0.0;197.64221840010373;240.00000000000063;13614.567342780489;0.05993295280898287;0.015429656230846717
50;1.0;0.8192734334476895;0.1807265665523105;0.9513530659253866;0.04864693407461341;0.0;3.1999999999986275;168.1523553731735;11.899247416466633;0.5783250129671343;11.320922403499495;2.891625064836837;0.0;198.62080028390926;240.00000000000057;13700.495833250368;0.05990937202678574;0.014558520863391638
